Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
05/13/2020,02/01/2020,05/09/2020,AL,Etowah County,1055,11,403
05/13/2020,02/01/2020,05/09/2020,AL,Houston County,1069,19,501
05/13/2020,02/01/2020,05/09/2020,AL,Jefferson County,1073,50,2465
05/13/2020,02/01/2020,05/09/2020,AL,Lee County,1081,35,318
05/13/2020,02/01/2020,05/09/2020,AL,Mobile County,1097,52,1316
05/13/2020,02/01/2020,05/09/2020,AL,Montgomery County,1101,12,747
05/13/2020,02/01/2020,05/09/2020,AL,Tallapoosa County,1123,25,169
05/13/2020,02/01/2020,05/09/2020,AZ,Coconino County,4005,61,368
05/13/2020,02/01/2020,05/09/2020,AZ,Maricopa County,4013,189,10833
05/13/2020,02/01/2020,05/09/2020,AZ,Mohave County,4015,12,907
05/13/2020,02/01/2020,05/09/2020,AZ,Pima County,4019,108,3334
05/13/2020,02/01/2020,05/09/2020,AR,Jefferson County,5069,14,252
05/13/2020,02/01/2020,05/09/2020,AR,Pulaski County,5119,24,1746
05/13/2020,02/01/2020,05/09/2020,CA,Alameda County,6001,63,3042
05/13/2020,02/01/2020,05/09/2020,CA,Contra Costa County,6013,24,2342
05/13/2020,02/01/2020,05/09/2020,CA,Los Angeles County,6037,893,20002
05/13/2020,02/01/2020,05/09/2020,CA,Marin County,6041,11,541
05/13/2020,02/01/2020,05/09/2020,CA,Orange County,6059,52,5879
05/13/2020,02/01/2020,05/09/2020,CA,Placer County,6061,14,1112
05/13/2020,02/01/2020,05/09/2020,CA,Riverside County,6065,118,5007
05/13/2020,02/01/2020,05/09/2020,CA,Sacramento County,6067,36,3429
05/13/2020,02/01/2020,05/09/2020,CA,San Bernardino County,6071,94,4130
05/13/2020,02/01/2020,05/09/2020,CA,San Diego County,6073,133,6566
05/13/2020,02/01/2020,05/09/2020,CA,San Francisco County,6075,26,1763
05/13/2020,02/01/2020,05/09/2020,CA,San Joaquin County,6077,16,1552
05/13/2020,02/01/2020,05/09/2020,CA,San Mateo County,6081,54,1397
05/13/2020,02/01/2020,05/09/2020,CA,Santa Clara County,6085,100,3214
05/13/2020,02/01/2020,05/09/2020,CA,Stanislaus County,6099,15,1460
05/13/2020,02/01/2020,05/09/2020,CA,Tulare County,6107,34,895
05/13/2020,02/01/2020,05/09/2020,CA,Ventura County,6111,20,1646
05/13/2020,02/01/2020,05/09/2020,CA,Yolo County,6113,13,338
05/13/2020,02/01/2020,05/09/2020,CO,Adams County,8001,92,1039
05/13/2020,02/01/2020,05/09/2020,CO,Arapahoe County,8005,191,1502
05/13/2020,02/01/2020,05/09/2020,CO,Boulder County,8013,40,720
05/13/2020,02/01/2020,05/09/2020,CO,Chaffee County,8015,13,58
05/13/2020,02/01/2020,05/09/2020,CO,Denver County,8031,138,1628
05/13/2020,02/01/2020,05/09/2020,CO,Douglas County,8035,36,476
05/13/2020,02/01/2020,05/09/2020,CO,El Paso County,8041,65,1499
05/13/2020,02/01/2020,05/09/2020,CO,Jefferson County,8059,74,1510
05/13/2020,02/01/2020,05/09/2020,CO,Larimer County,8069,23,776
05/13/2020,02/01/2020,05/09/2020,CO,Montrose County,8085,11,138
05/13/2020,02/01/2020,05/09/2020,CO,Morgan County,8087,17,77
05/13/2020,02/01/2020,05/09/2020,CO,Weld County,8123,74,529
05/13/2020,02/01/2020,05/09/2020,CT,Fairfield County,9001,200,693
05/13/2020,02/01/2020,05/09/2020,CT,Hartford County,9003,116,758
05/13/2020,02/01/2020,05/09/2020,CT,Litchfield County,9005,19,103
05/13/2020,02/01/2020,05/09/2020,CT,Middlesex County,9007,14,145
05/13/2020,02/01/2020,05/09/2020,CT,New Haven County,9009,92,762
05/13/2020,02/01/2020,05/09/2020,DE,Kent County,10001,14,451
05/13/2020,02/01/2020,05/09/2020,DE,New Castle County,10003,52,1318
05/13/2020,02/01/2020,05/09/2020,DE,Sussex County,10005,49,708
05/13/2020,02/01/2020,05/09/2020,DC,District of Columbia,11001,135,1755
05/13/2020,02/01/2020,05/09/2020,FL,Alachua County,12001,15,1028
05/13/2020,02/01/2020,05/09/2020,FL,Broward County,12011,206,4561
05/13/2020,02/01/2020,05/09/2020,FL,Charlotte County,12015,29,951
05/13/2020,02/01/2020,05/09/2020,FL,Clay County,12019,13,632
05/13/2020,02/01/2020,05/09/2020,FL,Collier County,12021,18,1119
05/13/2020,02/01/2020,05/09/2020,FL,Duval County,12031,27,2804
05/13/2020,02/01/2020,05/09/2020,FL,Escambia County,12033,18,1318
05/13/2020,02/01/2020,05/09/2020,FL,Hillsborough County,12057,30,3482
05/13/2020,02/01/2020,05/09/2020,FL,Lake County,12069,18,1169
05/13/2020,02/01/2020,05/09/2020,FL,Lee County,12071,37,2215
